대분류,실내/실외,소분류,주소,이름,평점,투표횟수,태깅
역사,실외,문화유산,광주 남구 서오층석탑2길 17,광주 성거사지 오층석탑,0,0,역사 문화유산 광주 성거사지 오층석탑
역사,실외,문화유산,광주 동구 지산로 57,광주 지산동 오층석탑,3.8,4,역사 문화유산 광주 지산동 오층석탑
역사,실외,문화유산,광주 동구 용연길,무등산 주상절리대,4.5,88,역사 문화유산 무등산 주상절리대
역사,실외,문화유산,광주 북구 가사문학로 954-38,충효동 왕버들군,4.5,8,역사 문화유산 충효동 왕버들군
축제/체험,실내,체험,광주 북구 비엔날레로 111,광주디자인비엔날레,4.2,21,축제/체험 체험 광주디자인비엔날레
축제/체험,실내,체험,광주 남구 천변좌로 338번길 7,광주 미디어아트 플랫폼,4,19,축제/체험 체험 광주 미디어아트 플랫폼
축제/체험,실내,체험,광주 남구 양과동 1237-5,빛고을농촌테마공원,4.6,92,축제/체험 체험 빛고을농촌테마공원
축제/체험,실내,체험,광주광역시 광산구 평동로 639-22,광주광역시 농업기술센터,4.6,50,축제/체험 체험 광주광역시 농업기술센터
축제/체험,실내,체험,광주 광산구 서봉동 37,IT스퀘어,0,0,축제/체험 체험 IT스퀘어
축제/체험,실내,체험,광주 북구 첨단과기로176번길 27,광주 디자인 체험관,3.8,83,축제/체험 체험 광주 디자인 체험관
축제/체험,실내,체험,광주 남구 압촌길 78,광주 콩종합센터,0,0,축제/체험 체험 광주 콩종합센터
축제/체험,실내,체험,광주 북구 첨단과기로 235,국립광주과학관,4.4,1644,축제/체험 체험 국립광주과학관
축제/체험,실내,체험,광주 북구 설죽로 477,남도향토음식박물관,4.1,70,축제/체험 체험 남도향토음식박물관
축제/체험,실내,체험,광주 동구 동명로 24,다과만들기 다담,0,0,축제/체험 체험 다과만들기 다담
축제/체험,실내,체험,광주 서구 회재로 905,시청자미디어센터,4.3,19,축제/체험 체험 시청자미디어센터
축제/체험,실내,체험,광주 남구 승촌보길 90,영산강 문화관,4.1,549,축제/체험 체험 영산강 문화관
관광,실외,공원,광주광역시 동구 지호로164번길 35-1,지산유원지,3.9,826,관광 공원 지산유원지
관광,실외,공원,광주 광산구 송산동 175-1,송산유원지,4,577,관광 공원 송산유원지
관광,실외,공원,광주 북구 우치로 677,우치공원,4.2,274,관광 공원 우치공원
먹거리,실내,맛집,광주 광산구 신창로166번길 24,금수저은수저,3.5,360,먹거리 맛집 금수저은수저
먹거리,실내,맛집,광주 동구 지호로 137- 7,남가정,4.2,144,먹거리 맛집 남가정
먹거리,실내,맛집,광주 북구 대촌길6번길 20-6,넓으실,3.8,359,먹거리 맛집 넓으실
먹거리,실내,맛집,광주 서구 풍암순환로128번길 73,다미정,3.9,291,먹거리 맛집 다미정
먹거리,실내,맛집,광주 서구 유덕로28번길 18,백년미가,3.6,156,먹거리 맛집 백년미가
먹거리,실내,맛집,광주 동구 무등로321번길 2,아리랑하우스,4,106,먹거리 맛집 아리랑하우스
먹거리,실내,맛집,광주 서구 풍암순환로128번길 75,영빈관,3.4,143,먹거리 맛집 영빈관
먹거리,실내,맛집,광주 서구 서광주로 187,예지원,3.8,137,먹거리 맛집 예지원
먹거리,실내,맛집,광주 서구 상무평화로 131,예향계절한정식,3.7,60,먹거리 맛집 예향계절한정식
먹거리,실내,맛집,광주 남구 효덕로 103,조선옥,3.5,136,먹거리 맛집 조선옥
먹거리,실내,맛집,광주 북구 일곡택지로53번길 55,현주네이야기,4,1,먹거리 맛집 현주네이야기
먹거리,실내,맛집,광주 서구 치평로 86,"다르다김밥,주먹밥",4.3,30,"먹거리 맛집 다르다김밥,주먹밥"
먹거리,실내,맛집,광주 동구 동계천로 143,맘스쿡,4.6,10,먹거리 맛집 맘스쿡
먹거리,실내,맛집,광주 서구 군분로159번길 13,테스팅노트,4.9,11,먹거리 맛집 테스팅노트
먹거리,실내,맛집,광주 북구 양산로 34,양산대박 상추튀김,4.3,15,먹거리 맛집 양산대박 상추튀김
먹거리,실내,맛집,광주 동구 황금동 74,은성김밥,2.7,6,먹거리 맛집 은성김밥
먹거리,실내,맛집,광주 서구 상무평화로 89,현완단겸 상추튀김,3.3,266,먹거리 맛집 현완단겸 상추튀김
먹거리,실내,맛집,광주 서구 상무대로 695번길 15,대광식당,4.1,64,먹거리 맛집 대광식당
먹거리,실내,맛집,광주 서구 상무자유로 174,육전명가,3.7,165,먹거리 맛집 육전명가
먹거리,실내,맛집,광주 서구 상무민주로123번길 13-7,김가원,4.6,15,먹거리 맛집 김가원
먹거리,실내,맛집,광주 서구 회재유통길 19-24,매월흑염소가든,4.1,605,먹거리 맛집 매월흑염소가든
먹거리,실내,맛집,광주 광산구 평동로 421,명화식육식당,4,1256,먹거리 맛집 명화식육식당
먹거리,실내,맛집,광주 북구 일곡마을로 152,미진,3.5,41,먹거리 맛집 미진
먹거리,실내,맛집,광주 서구 상무평화로 137,민들레,4.2,55,먹거리 맛집 민들레
먹거리,실내,맛집,광주 광산구 송정로8번길 41,서울장수국수,3.9,43,먹거리 맛집 서울장수국수
먹거리,실내,맛집,광주 동구 문화전당로35번길 28-5,송하회관,4.2,116,먹거리 맛집 송하회관
먹거리,실내,맛집,광주 북구 무등로 144,옥천면옥,3.9,508,먹거리 맛집 옥천면옥
먹거리,실내,맛집,광주 남구 봉선로 21,해남성내식당,4.2,99,먹거리 맛집 해남성내식당
먹거리,실내,맛집,광주 동구 백서로125번길 29,해남식당,4.1,86,먹거리 맛집 해남식당
먹거리,실내,맛집,광주 북구 무등로180번길 9-18,홍춘이	,4.2,9,먹거리 맛집 홍춘이	
먹거리,실내,맛집,광주 북구동운로 231,효정,4.2,114,먹거리 맛집 효정
먹거리,실내,맛집,광주 광산구 왕버들로252번길 33,100족발본점,4.8,187,먹거리 맛집 100족발본점
먹거리,실내,맛집,광주 북구 우치로 61,강의리추어탕,4,79,먹거리 맛집 강의리추어탕
먹거리,실내,맛집,광주 서구 마륵복개로 152-3,강촌,4.1,161,먹거리 맛집 강촌
먹거리,실내,맛집,광주 동구 의재로96번길 18,관가,3.6,160,먹거리 맛집 관가
먹거리,실내,맛집,광주 광산구 임방울대로 503,광후장어,0,0,먹거리 맛집 광후장어
먹거리,실내,맛집,광주 북구 서강로74번길 32,국현옥궁중팥죽,0,0,먹거리 맛집 국현옥궁중팥죽
먹거리,실내,맛집,광주 동구 금남로 193-7,꽃담,4.3,7,먹거리 맛집 꽃담
먹거리,실내,맛집,광주 남구 화산로 105,뜨락쌈밥,4.1,350,먹거리 맛집 뜨락쌈밥
먹거리,실내,맛집,광주 북구 대천로139번길 8-1,석암돌솥밥,4,335,먹거리 맛집 석암돌솥밥
먹거리,실내,맛집,광주 북구 북문대로 173,약수한방삼계탕,4.1,142,먹거리 맛집 약수한방삼계탕
먹거리,실내,맛집,광주 북구 밤실로 178,오얏리돌솥밥,4.2,532,먹거리 맛집 오얏리돌솥밥
먹거리,실내,맛집,광주 서구 운천로31번길 15,유진정,4.2,195,먹거리 맛집 유진정
먹거리,실내,맛집,광주 광산구 삼도가산안길 42,하림가,4.3,30,먹거리 맛집 하림가
먹거리,실내,맛집,광주 북구 민주로 164,한백년식당,4,16,먹거리 맛집 한백년식당
먹거리,실내,맛집,광주 서구 상무민주로6번길 36,낙지마을,3.8,163,먹거리 맛집 낙지마을
먹거리,실내,맛집,광주 서구 월드컵4강로 236,마천루,4,690,먹거리 맛집 마천루
먹거리,실내,맛집,광주 동구 문화전당로 37-2,마한지,4.1,532,먹거리 맛집 마한지
먹거리,실내,맛집,광주 광산구 송정로15번길 71,서울곱창,3.9,655,먹거리 맛집 서울곱창
먹거리,실내,맛집,광주 서구 금화로 240,여간 좋은날,0,0,먹거리 맛집 여간 좋은날
먹거리,실내,맛집,광주 서구 내방로 39-1,옥과한우촌,4,537,먹거리 맛집 옥과한우촌
먹거리,실내,맛집,광주 북구 북문대로33번길 3,우미일식,3.6,62,먹거리 맛집 우미일식
먹거리,실내,맛집,광주 서구 풍암운리로41번길 4-6,이씨네푸줏간,4.4,54,먹거리 맛집 이씨네푸줏간
먹거리,실내,맛집,광주 광산구 동곡로35번길 6,이태백,4,45,먹거리 맛집 이태백
먹거리,실내,맛집,광주 북구 하서로672번길 45,절기밥상,4,131,먹거리 맛집 절기밥상
먹거리,실내,맛집,광주 동구 제봉로 194,칠우불고기,4.2,333,먹거리 맛집 칠우불고기
먹거리,실내,맛집,광주 남구 효덕로 150,한우사랑,3.7,9,먹거리 맛집 한우사랑
먹거리,실내,맛집,광주 서구 상무대로 653-1,해동활어,4.1,287,먹거리 맛집 해동활어
먹거리,실내,맛집,광주 북구 일곡마을로 165,행랑채,3.5,189,먹거리 맛집 행랑채
먹거리,실내,맛집,광주 서구 운천로17번길 4-9,긴자상회,4.5,39,먹거리 맛집 긴자상회
먹거리,실내,맛집,광주 서구 상무대로 1032,더셰프,4.1,64,먹거리 맛집 더셰프
먹거리,실내,맛집,광주 동구 동명로20번길 17-6,알랭,4.3,90,먹거리 맛집 알랭
먹거리,실내,맛집,광주 광산구 임방울대로 353,어나더키친,4.1,164,먹거리 맛집 어나더키친
먹거리,실내,맛집,광주 서구 치평로 112,오카츠,4.5,50,먹거리 맛집 오카츠
먹거리,실내,맛집,광주 북구 용봉로 66,케이투,4.2,92,먹거리 맛집 케이투
먹거리,실내,맛집,광주 남구 백서로 97-1,파인트리,4.2,17,먹거리 맛집 파인트리
먹거리,실외,시장,광주광역시 북구 우산동 190-1,말바우시장,4.1,1714,먹거리 시장 말바우시장
먹거리,실외,시장,광주광역시 동구 학동 55,남광주시장,3.9,1485,먹거리 시장 남광주시장
먹거리,실외,시장,광주광역시 동구 대인동 제봉로194번길,대인시장,3.9,1107,먹거리 시장 대인시장
먹거리,실외,시장,광주 서구 천변좌로 238,양동시장,4.2,508,먹거리 시장 양동시장
먹거리,실외,시장,광주광역시 광산구 송정동 송정로16번길 38,1913 송정역시장,3.9,3994,먹거리 시장 1913 송정역시장
먹거리,실외,시장,광주광역시 광산구 비아동 비아중앙로 26-1,비아시장,3.9,440,먹거리 시장 비아시장
먹거리,실외,시장,광주 남구 군분로 27,무등시장,3.8,568,먹거리 시장 무등시장
관광,실외,스포츠,광주 북구 서림로 10 무등종합경기장,기아챔피언스필드,4.3,44,관광 스포츠 기아챔피언스필드
관광,실내,스포츠,광주광역시 서구 금화로 278,염주체육관,4.3,278,관광 스포츠 염주체육관
관광,실외,스포츠,광주광역시 서구 금화로 240 월드컵경기장,광주월드컵경기장,4.3,597,관광 스포츠 광주월드컵경기장
관광,실내,스포츠,광주 서구 금화로 278,광주 실내빙상장,4.2,286,관광 스포츠 광주 실내빙상장
관광,실외,공원,광주 광산구 첨단중앙로182번길 39,쌍암공원,4.5,1119,관광 공원 쌍암공원
관광,실외,공원,광주광역시 북구 임방울대로 877 어린이교통공원,광주 어린이교통공원,4.2,145,관광 공원 광주 어린이교통공원
관광,실외,공원,광주광역시 북구 추암로 190,광주 시민의숲,4.2,344,관광 공원 광주 시민의숲
관광,실외,공원,광주광역시 광산구 장신로82번길 57,수완호수공원,4.1,418,관광 공원 수완호수공원
관광,실외,공원,광주광역시 북구 양산동 288-3,양산호수공원,4.5,412,관광 공원 양산호수공원
